Linux 5.15.0-91-generic (gl5) 	01/19/2024 	_x86_64_	(32 CPU)

01:58:26 PM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
02:12:21 PM 382441040 390161204   1795792      0.45   1224568   8030724  51293192     12.72   4102568   5991248      3168    867040   1366424      9936     13036    267616
02:12:26 PM 382451436 390172212   1784744      0.45   1224568   8031332  51498376     12.77   4102644   5990968      3596    866328   1366468      9920     12984    267584
02:12:31 PM 382450780 390172540   1784536      0.45   1224576   8032284  51396460     12.75   4102692   5993744      2896    868040   1366372      9888     12564    267600
02:12:36 PM 382450136 390172232   1784948      0.45   1224588   8032704  51496752     12.77   4102776   5991192      3540    864736   1366172      9968     13100    267616
02:12:41 PM 382480368 390203388   1753728      0.44   1224592   8033624  51394976     12.75   4102840   5991200      2468    864296   1366236      9888     12672    267584
02:12:46 PM 382454704 390178368   1778552      0.45   1224600   8034188  51395504     12.75   4102912   5992408      3572    864916   1366504      9952     13040    267584
02:12:51 PM 382432860 390157480   1799572      0.46   1224608   8035136  51601748     12.80   4103004   5996084      2532    867220   1366372      9952     13032    267600
02:12:56 PM 382425116 390150412   1806644      0.46   1224612   8035764  51601348     12.80   4103044   5995860      1604    866948   1366412      9952     13072    267552
02:13:01 PM 382433052 390159544   1797344      0.46   1224616   8036956  51600532     12.80   4103152   5995464      1400    865508   1366580      9904     13028    267600
02:13:06 PM 382429796 390157364   1799508      0.46   1224624   8038048  51499972     12.77   4103208   5997384      2828    866840   1366572      9888     12632    267632
02:13:11 PM 382426120 390153860   1802880      0.46   1224632   8038196  50982276     12.64   4103264   5996636       940    865488   1366720      9952     13036    267584
02:13:16 PM 382419980 390148900   1807456      0.46   1224644   8039380  51292964     12.72   4103320   5997860      2180    865680   1367088      9856     12956    267584
02:13:21 PM 382463500 390193732   1763172      0.45   1224644   8040668  47902684     11.88   4103416   5967828      1704    834400   1366564      9920     12520    267552
02:13:26 PM 382421852 390152148   1805328      0.46   1224648   8040676  51396956     12.75   4103472   6000904      3116    866984   1366044      9936     12972    267584
02:13:31 PM 382422348 390153156   1804520      0.46   1224660   8041156  51294880     12.72   4103500   6002208      2700    868272   1365864      9920     13024    267616
02:13:36 PM 382417068 390149444   1808692      0.46   1224668   8042524  51395380     12.75   4103616   6001764      1968    867032   1365596     10144     12396    267632
02:13:41 PM 382407892 390140908   1817000      0.46   1224680   8043148  51292700     12.72   4103696   6001800      1940    866224   1365828      9920     12980    267616
02:13:46 PM 382405968 390139476   1817980      0.46   1224684   8043616  51191132     12.69   4103732   6002652      3068    866712   1366300     10272     12968    267616
02:13:51 PM 382392280 390127000   1831156      0.46   1224696   8044780  51597432     12.80   4103852   6002264      1264    864616   1365636      9904     12984    267568
02:13:56 PM 382418616 390154500   1803644      0.46   1224704   8045928  47800104     11.85   4103868   5973064      1348    834752   1365656      9872     12492    267584
02:14:01 PM 382403192 390139604   1818264      0.46   1224712   8046364  51499088     12.77   4103956   6004444      2988    865704   1366016      9824     12656    267680
02:14:06 PM 382396376 390134164   1823000      0.46   1224720   8047732  51603872     12.80   4104084   6008792      3016    868480   1366720      9824     12956    267584
02:14:11 PM 382386320 390124364   1832880      0.46   1224728   8047920  51603548     12.80   4104124   6011316      2848    871308   1366700      9920     13048    267536
02:14:16 PM 382377680 390117028   1840440      0.47   1224728   8049228  51397828     12.75   4104180   6010988      1268    869644   1366472      9872     12652    267504
02:14:21 PM 382352988 390093308   1864204      0.47   1224728   8050080  51293080     12.72   4104272   6008556      2608    866396   1366548      9904     13028    267488
02:14:26 PM 382361848 390102632   1854688      0.47   1224728   8050568  51496588     12.77   4104356   6009072      2616    866648   1366716      9872     12992    267568
02:14:31 PM 382356488 390097956   1859008      0.47   1224728   8051196  51601524     12.80   4104384   6010776       992    867660   1367128      9904     12984    267568
02:14:36 PM 382364972 390107484   1849552      0.47   1224732   8052248  51601400     12.80   4104484   6011296      1668    867232   1367044      9856     12872    267568
02:14:41 PM 382369968 390112744   1844160      0.47   1224740   8052588  51703476     12.82   4104516   6012020      2796    867704   1367092      9952     13068    267568
