Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:50:53 AM  53579788 389308764   1412084      0.36   4040916 321905272   3150932      0.78 146969408 179144064        40    195196  13921080      8384      4324    330476
01:50:58 AM  53577332 389307800   1413044      0.36   4040916 321906736   3150932      0.78 146969408 179145600       160    195264  13921112      8384      4324    330492
01:51:03 AM  53575612 389307584   1413280      0.36   4040916 321908172   3150932      0.78 146969408 179147092        36    195324  13921160      8384      4324    330492
01:51:08 AM  53573428 389306836   1413956      0.36   4040916 321909552   3151340      0.78 146969408 179148556       160    195416  13921288      8384      4320    330508
01:51:13 AM  53571972 389306852   1413928      0.36   4040916 321910988   3151340      0.78 146969408 179150088        20    195508  13921336      8384      4324    330524
01:51:18 AM  53570776 389307096   1413664      0.36   4040916 321912368   3151340      0.78 146969408 179151540       184    195584  13921416      8384      4320    330540
01:51:23 AM  53569308 389306908   1413892      0.36   4040916 321913608   3151340      0.78 146969408 179152876        36    195676  13921416      8384      4320    330540
01:51:28 AM  53567080 389306124   1414664      0.36   4040916 321914952   3151596      0.78 146969408 179154308       184    195760  13921528      8384      4320    330524
01:51:33 AM  53565616 389306044   1414792      0.36   4040916 321916304   3151728      0.78 146969408 179155756        40    195852  13921512      8384      4320    330524
01:51:38 AM  53564144 389306128   1414724      0.36   4040916 321917812   3151728      0.78 146969408 179157336       172    195944  13921544      8384      4324    330508
01:51:43 AM  53561672 389305108   1415676      0.36   4040916 321919220   3151728      0.78 146969408 179158856        36    196040  13921656      8384      4324    330524
01:51:48 AM  53559692 389304592   1416164      0.36   4040916 321920632   3151984      0.78 146969408 179160352        56    196136  13921736      8384      4324    330508
